player_id,short_name,value_eur,age,club_name,nationality_name
232888,Chen Zhechao,240000,27,Meizhou Hakka,China PR
237769,K. Kitagawa,1000000,24,Rapid Vienna,Japan
230263,Adeilson Gesser,1600000,29,Bahia,Brazil
230703,A. Karo,1100000,24,APOEL,Cyprus
227509,E. Ómarsson,1200000,27,Nîmes,Iceland
258652,Rubén Pulido,575000,20,Fuenlabrada,Spain
251585,J. Mary,1200000,28,Al Shabab,Cameroon
254246,D. Rivera,750000,18,New England,United States
244133,A. Rossipal,875000,25,Waldhof Mannheim,Germany
239545,J. Godínez,850000,24,Querétaro,Mexico
224094,J. Bachmann,1500000,26,Sandhausen,Germany
244491,C. Kobald,1900000,23,Karlsruher SC,Austria
242946,D. Afolayan,1900000,23,Bolton Wanderers,England
201901,C. Winchester,750000,29,Shrewsbury Town,Northern Ireland
232017,A. Alfaro,550000,29,DC United,Mexico
242635,I. Ogbu,2600000,21,Lillestrøm,Nigeria
216232,G. Kilota,1500000,27,RFC Seraing,France
212096,V. Grifo,21000000,28,SC Freiburg,Italy
202754,C. Râpă,600000,32,Cracovia Kraków,Romania
236192,Claudio Silbeiro,1100000,26,Cuiabá,Brazil
194201,P. Jansson,4600000,30,Brentford,Sweden
210282,Bruno Peres,4100000,31,Trabzonspor,Brazil
259835,Robson,925000,28,Wilstermann,Brazil
179931,C. Avinel,450000,34,Ajaccio,France
266290,S. Lagerlund,275000,19,Häcken,Sweden
192123,C. Wood,10500000,29,Newcastle United,New Zealand
261085,A. Ndour,525000,23,Haugesund,Senegal
271669,Juan Larios,600000,18,Southampton,Spain
220965,A. Tahiri,1400000,27,SC Heerenveen,Morocco
254303,I. Elmkies,850000,22,TSG Hoffenheim,Israel
262663,K. Ezekwem,1000000,20,SC Freiburg,Germany
232671,L. Putaro,975000,24,Verl,Germany
186881,J. Holland,700000,33,Austria Wien,Australia
236800,I. Angulo,1900000,23,Orlando City,Colombia
199294,D. Meza Colli,300000,33,Argeş,Paraguay
209521,Alison,1400000,28,Al Hazm,Brazil
260160,E. Bailey,130000,17,Port Vale,England
241534,S. McLoughlin,1100000,24,Hull City,Republic of Ireland
264104,W. Goodwin,500000,19,Stoke City,England
259848,J. Aramburu,1600000,18,Deportivo La Guaira,Venezuela
254932,J. Caicedo,650000,26,Emelec,Ecuador
219582,S. Fortes,1300000,29,KV Oostende,Cape Verde Islands
201041,L. Carole,1200000,31,Kayserispor,France
262377,S. Thangmuansang,150000,22,Odisha FC,India
212483,J. Obiang,775000,28,Caen,Gabon
244253,U. Račić,8000000,24,Sporting Braga,Serbia
186190,P. van Aanholt,6500000,30,Galatasaray,Netherlands
222916,J. Ginnelly,1400000,24,Hearts,England
269698,F. Katelaris,1600000,25,KV Oostende,Cyprus
240599,C. Hendry,600000,23,St. Johnstone,Scotland
269395,A. Lomax,100000,18,Tranmere Rovers,England
240990,B. Berríos,2800000,24,Everton,Chile
212187,P. Max,9500000,28,PSV,Germany
245761,A. Morgan,1300000,22,Charlton Athletic,England
231014,Asumah Abubakar,1600000,24,Luzern,Portugal
169479,R. Griffiths,230000,34,Mumbai City,Australia
237316,B. Cooper,1000000,21,Swindon Town,Wales
192612,M. Jajalo,800000,34,Udinese,Bosnia and Herzegovina
226781,K. Shelton,600000,28,Sporting KC,United States
199665,J. Cools,1200000,30,AS Eupen,Belgium
252748,K. Adedoyin,450000,21,Accrington Stanley,Nigeria
243807,C. Sibbald,625000,26,Livingston,Scotland
234889,F. Jensen,2800000,23,FC Augsburg,Finland
260779,S. Adingra,1100000,19,Nordsjælland,Côte d'Ivoire
232476,K. Shiihashi,925000,24,Kashiwa Reysol,Japan
265197,A. Benarous,925000,18,Bristol City,England
213013,F. Acheampong,8000000,27,Shenzhen,Ghana
204125,J. Bořil,2600000,30,Slavia Praha,Czech Republic
190607,D. Quintero,1100000,34,Houston Dynamo,Colombia
241629,Rogério,2200000,23,Sassuolo,Brazil
250813,L. Greiml,1900000,19,Rapid Vienna,Austria
201841,N. Dussenne,1900000,30,Standard Liège,Belgium
260687,K. McDonald,425000,19,Derby County,England
252573,A. Terzić,2600000,22,Fiorentina,Serbia
205192,Denis Suárez,15000000,27,Celta de Vigo,Spain
241049,Gorosabel,15000000,24,Real Sociedad,Spain
260818,P. Farquharson,475000,24,Newport County,England
254685,N. Boushal,1000000,21,Al Fateh,Saudi Arabia
216790,C. Grant,1100000,26,Plymouth Argyle,England
223334,Joelinton,8500000,24,Newcastle United,Brazil
228295,R. Holding,11500000,26,Arsenal,England
241157,T. Sainte-Luce,1500000,23,Montpellier,France
180826,Luiz Adriano,2400000,35,Antalyaspor,Brazil
270913,U. Bislimi,975000,22,Lugano,Kosovo
223517,Danilo,2900000,25,Nice,Brazil
270697,E. Ifoni,425000,22,RFC Seraing,Nigeria
204525,Iñigo Martínez,21000000,30,Athletic Club,Spain
253679,Zheng Xuejian,200000,21,Hangzhou,China PR
242143,Ricardo Ryller,1500000,27,Al Feiha,Brazil
261454,M. Traore,550000,22,Viking,Guinea
241861,N. Atkinson,2200000,22,Hearts,Australia
173654,P. McGowan,300000,33,Dundee,Scotland
246172,S. Chukwueze,21500000,22,Villarreal,Nigeria
263561,D. Murray,600000,19,Celtic,Scotland
247476,H. Dotson,1200000,23,Minnesota United,United States
235347,T. Pearce,875000,23,Wigan Athletic,England
248021,I. Cristea,1700000,27,FCSB,Romania
251468,T. Mißner,525000,22,Elversberg,Germany
262053,Kayky,2700000,18,Manchester City,Brazil
202708,L. Palun,210000,33,Bastia,Gabon
221791,R. Kurzawa,1000000,28,Pogoń Szczecin,Poland
227895,K. Twardek,525000,24,Bohemians,Canada
261047,R. Meißner,950000,21,Hansa Rostock,Germany
268766,J. Wright,170000,26,Mioveni,Jamaica
227895,K. Twardek,500000,25,Bohemians,Canada
254728,P. Ayala,425000,26,Guaireña,Paraguay
211607,F. Loshaj,575000,25,Cracovia Kraków,Kosovo
223879,L. Ramos,1300000,31,Unión Santa Fe,Argentina
225798,B. Çamoğlu,900000,24,Hatayspor,Turkey
199897,N. Höfler,3000000,31,SC Freiburg,Germany
202482,A. Rodman,80000,35,Bristol Rovers,England
209223,A. Khamis,300000,33,Al Raed,Saudi Arabia
261454,M. Traore,450000,21,Viking,Guinea
242984,S. Power,425000,24,Shamrock Rovers,Republic of Ireland
183829,M. Youssouf,375000,34,Ajaccio,Comoros
237739,R. Shindo,1300000,25,Cerezo Osaka,Japan
219792,B. Santamaria,8500000,27,Rennes,France
261951,Li Xiang,110000,30,Tianjin Teda,China PR
250822,B. Fadiga,1400000,20,Olympiakos Piraeus,France
260828,De Tomás,950000,20,Rayo Vallecano,Spain
255183,K. Miyamoto,450000,25,Shimizu S-Pulse,Japan
260390,R. Zouhir,350000,17,Montreal Impact,Morocco
252397,Marcinho,1600000,26,Kawasaki Frontale,Brazil
244628,B. Samudio,3300000,26,Cerro Porteño,Paraguay
209256,T. Anderson,550000,28,Doncaster Rovers,England
255457,M. Navarro,1000000,22,Chicago Fire,Venezuela
244538,S. Bauer,725000,28,Admira,Austria
241833,K. Gutiérrez,1900000,24,Defensa y Justicia,Argentina
230350,Flávio Rebeilo,2100000,29,Santos,Brazil
258116,F. Andueza,1900000,24,Sarmiento,Uruguay
237833,M. Harris,1600000,22,Cardiff City,Wales
254327,N. Ogbeta,1600000,20,Swansea City,England
238775,S. Kowalczyk,2400000,23,Pogoń Szczecin,Poland
263034,A. Krivotsyuk,900000,22,Wisła Płock,Azerbaijan
266737,S. Plazibat,400000,31,Academica Clinceni,Croatia
229668,Mario Hermoso,35500000,26,Atlético Madrid,Spain
229904,E. Öztürk,1700000,24,İstanbulspor,Turkey
240187,J. Stenmark,500000,23,Kalmar,Sweden
